tx_id,fund_id
T041DA2F701A4,IE00BFPM9N11
T19C8895529BF,IE00BFPM9N11
TB2970E3BC4D8,IE00BFPM9N11
T21FE17D596DF,LU0252964944
T46EF4DEE50C9,LU0303706948
TC3727A028629,ES0172242002
T5EEEB9BF5652,LU0252964944
TFC72D0A5111B,LU0252964944
T86175FBC6747,LU0303706948
TF961DD154458,ES0172242002
T8D9993DCB3B5,ES0172242002
TD3C729CA4A5D,LU0252964944
TA0A229FA826B,LU0303706948
T3AB8EB8AA65A,LU0303706948
TEEB5F5465244,ES0172242002
T4F957F96D26F,LU0252964944
TB6FEF9DC6102,ES0172242002
T71A5DC994C3D,LU0303706948
TCC54A813F0A2,LU0303706948
T753C7AFDAEFD,LU0303706948
TF422A5B79001,ES0172242002
T574C4AEB7C0E,LU0252964944
T350A363FC525,LU0252964944
T3F2A41FE76B2,LU0303706948
T6431E3DD2A61,LU0252964944
TD3457FACDF49,LU0252964944
TE9DA7E511F0A,ES0172242002
T4205FF07ADF2,IE00BYX5NK04
TAF169C01514C,IE00BYX5M476
T0938518C51B0,IE00BYX5NK04
TDF7B94A295C9,IE00BYX5NK04
T72EC5AB3EF02,IE00BYX5NK04
T4DA1CC81F888,IE00BYX5M476
TE7F571E374ED,IE00BYX5NK04
T2FBE88412553,IE00BYX5NK04
TCF7DB07B05E9,LU0996175948
TFAA7122BB92C,IE00BYX5NK04
TF1D4146BCB5E,LU0996175948
TDF5EA6A5AA0F,IE00BYX5NK04
TCB483954B5B6,IE00BYX5M476
TE5414A0D9526,LU0996175948
T04638FE36A76,IE00BYX5NK04
TEB8B7FF0375F,LU0996175948
TA2DBC7A61B18,LU0996175948
T3D1B5C7CFAFF,LU0996175948
TE4CA8AC6FEAD,LU0996175948
TD9036494E6A7,IE00BYX5M476
T1791D3D48BBC,IE00BYX5M476
TA56C54181334,IE00BYX5M476
TA37ED8665480,IE00BFPM9N11
TC3C6C4BAE704,IE00BFPM9N11
T660FDA4547EF,IE00BYX5NK04
T55FCFFB646DB,IE00BFPM9N11
T108FD64AC5FF,IE00BFPM9N11
T946A2F9D97AC,IE00BD0NCN62
T7DD4D0F16689,IE00BYX5NK04
T136D59EBD0BA,IE00BYX5NK04
T546080CECEC8,IE00BFPM9N11
T593BBB247F62,LU0996175948
T992946972B79,IE00BFPM9N11
T5123D94797DB,IE00BD0NCN62
T8F658545DD31,IE00BYX5NK04
T379288300E20,IE00BFPM9N11
T6383BDBDD6E9,IE00BD0NCN62
T03AC00146B27,IE00BFPM9N11
T74A0C902E481,IE00BFPM9N11
T106DE9069A49,IE00BFPM9N11
TF41ECC41687B,IE00BFPM9N11
TE9D772CE149E,IE00BD0NCN62
TCD3AE35AFDFF,LU0252964944
TAD04CBEEDA55,LU0252964944
T75663661BB4F,LU0252964944
TBC5E91C18473,IE00BD0NCN62
T1D5E1E46A521,LU0252964944
T4F21C0ADDB86,LU0252964944
TF10C69253697,LU0252964944
T7A7E3CE4EE92,LU0252964944
T474290B2B37E,ES0172242002
T2F8DD639C124,LU0252964944
TAF69BD4569F9,IE00BD0NCN62
T0B689731BED7,IE00BD0NCN62
T89D6C5DF31AD,LU0252964944
TA1393A7730B2,IE00BD0NCN62
T37E1F536B5A8,IE00BD0NCN62
T0BFD9925918D,IE00BD0NCN62
T7A922E7FB561,LU0252964944
TB5CBA13D59D6,LU0252964944
TAC9F66F06471,ES0172242002
TDBF4EED24D35,IE00BD0NCN62
TA38BA3D94213,LU0252964944
T76AE73771898,LU2349459045
T04C7BB6F764E,LU0996175948
T207BD0677D1B,LU2349459045
TE07FA4EF5B25,LU0252964944
T86EF34085A92,LU0996175948
TF3E6B9224DBE,LU0996175948
T13BF4293C84E,LU0996175948
T3136089DBADC,LU2349459045
TC994B161A634,LU2349459045
TC3078D3BCFEB,LU0996175948
TF0F2EA501403,LU2349459045
T567BD073F431,IE00BYX5NK04
TD57873D6EA59,LU0996175948
TED4E30AFECF8,LU0252964944
T6BF7ECDF1D5B,LU2349459045
T5F74893827F6,IE00BYX5NK04
T0B2C6465012B,LU2349459045
T63AD1A224233,LU0996175948
T3ED2D4ABF8D1,LU0252964944
T5235162A310F,LU2349459045
TB6A4735F2AE1,LU2349459045
T6F6A3D38813A,LU0996175948
TCF072F929039,LU0996175948
T88CCD62023DD,LU2349459045
T47017BFB7A87,LU0252964944
T4B46149E979D,LU2349459045
T174DC3FF0B00,LU2349459045
TA5E6D96B9B8E,LU2349459045
T717025A8091C,LU2349459045
TA9E98D12B62A,ES0172242002
T01489FC677D3,LU2349459045
T441F480D4316,LU2349459045
T82B18A58CADB,IE00BYX5NK04
TFDE7BAB8DE6D,ES0172242002
T5FA780BCDCDA,LU2349459045
TD797203418E0,IE00BYX5NK04
T542F3A89EDFC,IE00BYX5NK04
TECCE4125827F,IE00BYX5NK04
TC3029622E356,ES0110119031
TB436529B5AC9,IE00BYX5NK04
TD836EF32F314,IE00BYX5NK04
TAAE216CACB3B,ES0172242002
T8E20D24CE9A3,IE00BYX5NK04
T478A4F297E6F,LU0996175948
T077B72992340,LU0996175948
T3C2A1872CD61,LU0996175948
TC0A6D07B91D4,LU0996175948
TF9F1AC9A10CB,LU0996175948
T3D90E0183E6E,LU0996175948
T7D060E4D10F2,LU0996175948
TBCE786872C96,LU0996175948
T1A73736365B5,LU0996175948
T4D9BB313BFCD,LU0996175948
TDA280C175407,LU0996175948
T77978EB8184F,LU0996175948
TA52B4ABDC61A,LU0996175948
T7BFBA0126BF4,LU0996175948
TC4583308C4E5,LU0996175948
T97F570DF4C19,LU0996175948
TA0D8DAED844A,LU0303706948
TFCC41FEA6E7F,LU0303706948
TC8792551C474,LU0303706948
TD468EE663402,LU2349459045
TB68648C226BA,IE00BYX5NK04
T6CF3D9646D95,IE00BYX5NK04
T40B68A248CE2,IE00BYX5NK04
T7F7877793271,LU0303706948
TEF9F03D23545,IE00BYX5NK04
T9750D457520F,IE00BYX5NK04
TDB619BDAF405,LU0303706948
TA7DACAB7F176,IE00BYX5NK04
T454ED62ABD19,IE00BYX5NK04
TEBBF7FA33177,IE00BYX5NK04
TD998446E90AB,LU0303706948
TDA562F32AE09,IE00BYX5NK04
T202363775347,IE00BYX5NK04
T167C60BA6848,IE00BYX5NK04
T535886D323E5,LU0303706948
T87728CF85508,IE00BYX5NK04
T49AC505C7747,IE00BYX5NK04
T5438810FA51C,IE00BFPM9N11
T9F7901381EF4,IE00BFPM9N11
T2F78347F4766,IE00BFPM9N11
TA5C400B47EFF,IE00BFPM9N11
TD65A9A9C2C8F,IE00BFPM9N11
TAE89CC9E36F5,IE00BFPM9N11
TC39C8065E6D1,ES0110119031
T58B5918A3890,IE00BFPM9N11
TF8919769FF97,ES0110119031
TFBED18EE4474,IE00BFPM9N11
T5C8B1C0176FF,IE00BFPM9N11
T461311F08855,IE00BFPM9N11
TF9C6C9FA1AE3,IE00BFPM9N11
T963DB17210EB,IE00BFPM9N11
T587CBD1B1EF9,ES0110119031
TA403F1E65FD3,IE00BFPM9N11
T0B6DCC75BD11,ES0110119031
T67A7C8F40C31,IE00BFPM9N11
TD041C34C6EB1,IE00BFPM9N11
TD61C4C975961,IE00BFPM9N11
T362198F06B10,IE00BFPM9N11
T74825EEB10C5,IE00BFPM9N11
TAE653FC23429,IE00BFPM9N11
T841D2D893451,ES0110119031
T343E22A3BD50,IE00BFPM9N11
T6B3077D1463B,ES0110119031
T2E7544E8B407,IE00BFPM9N11
T3C9E2502F9B0,ES0110119031
TACBF3C676A93,IE00BYX5NK04
T4B150CCA671E,IE00BYX5NK04
T575ADAA439B1,LU0303706948
TE20B07944789,IE00BYX5M476
T42C4D8AAB278,ES0110119031
T520DAA003E4D,ES0110119031
TF254B3C5D168,ES0110119031
TEDDAAB21F06E,ES0110119031
T93459B9CC82D,ES0110119031
TF9A180CE88BC,IE00BYX5M476
TEFE68FF70349,ES0110119031
T236D1707BD78,ES0110119031
T3714B4DCA837,ES0110119031
TB26151FCA007,ES0110119031
T5724D6C4A2F8,ES0110119031
T01DE05037318,IE00BYX5NK04
T6C9521DE47AD,IE00BFPM9N11
T623536202CB6,IE00BD0NCN62
T86295DF9E656,LU0303706948
T64BE6366BD4D,IE00BFPM9N11
TB200C2A26881,IE00BFPM9N11
T76F24A7CE37A,LU0303706948
TD78609019C1B,IE00BD0NCN62
T4A1A34622D15,LU0303706948
T8CC70C3730E2,IE00BD0NCN62
T5B785F769843,IE00BD0NCN62
TE7910780B6BD,LU0303706948
T1FA62F02379B,IE00BFPM9N11
T7C1F52198DF2,LU0303706948
T5BBC927BF064,IE00BD0NCN62
TA4D29C372CC0,LU0303706948
T0575D29F6457,IE00BFPM9N11
T695172D423D4,IE00BD0NCN62
T7033F81082B5,IE00BFPM9N11
T0717B8928D28,LU0252964944
TC55AA1220FCE,ES0110119031
T9B2D12CDBA7A,LU0252964944
TF1A4291826AF,LU0252964944
T290E2D6539EF,LU0252964944
T8D76ECC99535,LU0252964944
TFD555D8A73BD,LU0252964944
TFBAC77EC3C10,ES0110119031
TEF50ABE6AA01,LU0252964944
T0A29C18DF7EF,LU0252964944
T16D6232757D9,LU0252964944
