tx_id,date,amount_eur,nav,units,currency
TB6E232889D15,2025-03-31,352.13,124.542694,2.82740105,EUR
T8AE2146EDA7D,2025-08-06,111.38,87.153297,1.27802734,EUR
TC01CB807A6AA,2025-11-24,131.86,157.618785,0.83657072,EUR
T13F93E8A0583,2023-01-09,1328.32,100.641579,13.19856983,EUR
T200A76517FB9,2023-02-01,592.59,102.824498,5.76311453,EUR
T58577F1702A9,2023-02-03,4061.11,104.544564,38.84571729,EUR
T3CD558CF84C5,2023-05-10,1261.52,102.328166,12.3281592,EUR
TF31F7CA9D065,2023-06-03,1376.78,108.181437,12.72656704,EUR
T1E4F1CACF5DE,2023-07-22,3675.71,103.720156,35.43873972,EUR
T93006DC145B7,2023-09-28,628.38,89.783532,6.99883628,EUR
TFB51EDDFD3BD,2023-11-03,838.53,122.263247,6.85839039,EUR
T610536B4D05A,2023-11-26,330.21,102.857337,3.21039514,EUR
TA788A77362A1,2024-02-03,784.08,102.972167,7.61451017,EUR
TAD1EF7AFDD43,2024-02-29,273.49,118.87539,2.30061606,EUR
T5D4AA922FB72,2024-03-03,1637.09,116.318398,14.07419541,EUR
T150D28A82C4D,2024-04-20,1259.4,124.548508,10.11173772,EUR
T75499812E3BE,2024-05-04,721.07,99.758839,7.22815382,EUR
TE7F90BA38DEE,2024-05-26,830.52,126.17708,6.58220291,EUR
TBCCACE905C6D,2024-06-24,1655.02,123.398593,13.411978,EUR
T239D86588536,2024-08-25,362.77,121.914146,2.97558548,EUR
T4F34D5A84678,2024-12-03,1059.69,115.674822,9.160915,EUR
TDA93DCE1DC00,2024-12-19,1574.99,108.171878,14.56004568,EUR
T3024E4FEBE03,2025-01-23,216.28,102.794658,2.10400382,EUR
T5B550C6EBB2A,2025-02-01,1556.73,144.032797,10.80818957,EUR
T67E72A28E306,2025-02-16,235.84,114.401285,2.06149712,EUR
T8D36D888C0BD,2025-02-22,819.19,115.640085,7.08398442,EUR
T504C002839F0,2025-07-03,354.85,114.595353,3.09650676,EUR
T6EAAB5C08C36,2025-07-20,2828.19,88.169792,32.07662642,EUR
TBF7585491544,2025-08-21,356.63,125.851322,2.83373801,EUR
T4959A03B6283,2025-08-26,240.39,128.304359,1.87355483,EUR
TE31D112F974E,2025-09-01,1001.32,78.166583,12.81010417,EUR
TCA35E7E2F99D,2025-10-24,646.41,148.545147,4.35159937,EUR
T4978ECBA1FCA,2025-12-01,270.08,116.899542,2.31034214,EUR
TA430ABC70258,2025-12-02,1370.66,117.053709,11.70965885,EUR
TE910ACFCE2AC,2025-12-04,182.95,84.995958,2.15241788,EUR
T05CECCF2A6CF,2023-05-27,1047.37,110.325336,9.49344768,EUR
TA8A0D6C14396,2023-08-07,2001.87,93.301678,21.4558993,EUR
T71F0152EA12E,2023-09-01,182.32,115.201954,1.58259495,EUR
T42ED967FDADB,2023-12-14,603.51,96.291357,6.2675168,EUR
T26C5B8B01210,2024-02-03,200.99,119.742324,1.67848967,EUR
TD1695D72214C,2024-02-25,1680.29,100.862243,16.65928756,EUR
T0D0FAA1E7EA7,2024-02-29,261.02,118.87539,2.19577245,EUR
T65F65BCE0DB1,2024-04-24,323.8,108.33246,2.98898795,EUR
T7D4877CCC29A,2024-05-04,1357.79,104.954274,12.93698364,EUR
T5B2B074B5B1B,2024-05-24,2104.54,104.995163,20.04420249,EUR
T8ADE89F9E2AA,2024-06-02,792.52,108.232141,7.3224275,EUR
T1742E19A7D80,2024-06-08,1420.17,116.325879,12.20855835,EUR
T7EA81B3367F3,2024-06-29,1383.85,110.728782,12.49766084,EUR
T6D30E3106841,2024-07-26,757.52,114.445606,6.6190617,EUR
T9E1714310378,2024-08-21,374.89,111.449711,3.36375165,EUR
T5480081A17F7,2024-09-01,1414.18,112.772376,12.54016226,EUR
T0421A293DB84,2024-10-23,1469.78,94.678166,15.52401068,EUR
T2FACEEE72DD9,2024-12-27,1840.17,95.455059,19.27788802,EUR
T6D60103BCF18,2025-02-26,1155.22,94.936021,12.16842766,EUR
TE340150CEB4C,2025-03-08,353.4,94.454915,3.74144612,EUR
TBE945613CBAD,2025-03-15,1563.48,129.664842,12.05782597,EUR
T8698415C1DEB,2025-06-05,899.01,113.374108,7.92955456,EUR
T092AFD0F38AD,2025-07-23,611.68,111.706181,5.47576924,EUR
TF519A6AD7F37,2025-11-29,711.01,117.379039,6.05738232,EUR
T341F0BE4AFEC,2025-12-20,518.11,92.465363,5.60329545,EUR
T664F88B350E7,2023-04-24,214.11,105.082602,2.03758052,EUR
TE5761A79D3C2,2023-06-08,65.13,83.881803,0.77644685,EUR
T58D31524DF9E,2023-09-26,165.73,101.042968,1.64018533,EUR
T1147E3204F27,2023-10-14,153.72,100.515587,1.52931751,EUR
T97E3949A92E8,2023-11-22,608.18,113.946121,5.33740244,EUR
T4F1E6A4F5600,2024-03-21,45.62,106.615467,0.42790765,EUR
T7CC7653CE77E,2024-05-26,250.05,126.17708,1.98174841,EUR
T5AD1CD5A1820,2024-06-22,1019.72,106.560696,9.56934746,EUR
TF56DA17EFA53,2024-07-26,351.9,106.49187,3.30446261,EUR
TDCC024DD3070,2024-09-15,685.52,124.040062,5.52656339,EUR
T805CFE943BF5,2024-10-28,102.16,96.045843,1.06370574,EUR
TD3A150E6F3E6,2024-12-25,105.26,136.998932,0.76833295,EUR
TF3624D0028B0,2025-03-29,1028.51,109.24493,9.41470262,EUR
T0DCB5AD1FDF7,2025-04-04,377.6,127.135466,2.97008776,EUR
TF1431EE02FEB,2025-12-19,378.19,162.488586,2.32746844,EUR
T3266E938D7D3,2025-12-21,151.31,163.279477,0.92668203,EUR
TA0F527515287,2023-02-01,775.34,100.057465,7.74894955,EUR
T82FCB614CD90,2023-08-23,1782.23,81.593524,21.8427818,EUR
T8EAE22BE97B8,2023-09-25,14060.67,77.359147,181.75834434,EUR
TF3B97055D0D3,2023-10-03,1258.72,77.054265,16.33551246,EUR
T4FB5CB1E8CA2,2023-11-24,499.81,83.044493,6.01863861,EUR
TD7BD082E9F5F,2024-01-16,319.0,95.12692,3.35340448,EUR
T544B9EDCE1A9,2024-02-02,693.81,80.003147,8.67222739,EUR
T16279C2E24DD,2024-02-20,424.2,105.124279,4.03518275,EUR
T00DE2F83B0A0,2024-05-31,1308.24,68.304047,19.15311906,EUR
TA69F6006594A,2024-06-26,1292.08,69.983007,18.46283166,EUR
T06737875EC6B,2024-08-19,621.33,98.180234,6.32844964,EUR
T95284C0C680B,2024-10-18,4404.4,155.217834,28.37558993,EUR
T4D242E6F04F5,2024-11-20,499.71,106.514608,4.6915113,EUR
TB3ECAA278D6B,2025-02-14,817.99,77.17796,10.59874909,EUR
T88D06BD63F3E,2025-05-01,1500.76,84.899323,17.67690122,EUR
T63E9122CFD75,2025-05-19,1837.27,145.724901,12.60783031,EUR
TAC6A1F427963,2025-06-26,2501.03,146.704806,17.04801095,EUR
T976D05D096B0,2025-06-28,1267.99,89.331834,14.19420863,EUR
T87B1F5E1989D,2025-09-19,2086.25,144.028739,14.48497735,EUR
T1E3E57D2D5F0,2025-11-23,528.64,102.122848,5.17651342,EUR
T90597D1B56AB,2023-02-24,850.89,109.323134,7.7832499,EUR
T62D17BCBA280,2023-02-27,466.45,103.345677,4.51352368,EUR
TC5F0E6E2A6EC,2023-03-04,1237.19,109.535051,11.29492767,EUR
T531C40CE39A6,2023-04-21,185.94,107.773146,1.72527133,EUR
TD066864D0DFC,2023-05-29,536.28,119.112559,4.50227581,EUR
T8F0079775A4C,2023-07-05,1311.09,126.406053,10.37201508,EUR
T757BB0B71837,2023-09-04,394.86,94.895331,4.16098298,EUR
TA68C972A5F5E,2023-10-04,1248.63,114.971628,10.86030916,EUR
T043E9BAC9695,2023-11-04,576.39,122.263247,4.71429886,EUR
TAFFCB7F7EF19,2024-01-03,876.69,97.87165,8.95750018,EUR
T1EE140B83277,2024-01-15,1448.84,103.890205,13.94591376,EUR
T21F23344924A,2024-05-30,1928.76,124.07925,15.54457822,EUR
T8CF5C3B95F98,2024-07-26,969.12,123.875774,7.82332342,EUR
T7F6918153B36,2024-08-02,469.27,108.500581,4.32508158,EUR
T19B2D4F0A1BE,2024-09-03,623.88,100.971513,6.1788072,EUR
T33CDCF06CFB5,2024-09-22,1498.11,116.263185,12.88549932,EUR
T7830443B5AAF,2024-10-24,397.58,93.017943,4.27421083,EUR
T321CCA286FA8,2024-11-20,780.51,93.932858,8.30918258,EUR
TBC92DA063D8D,2024-12-03,660.96,115.674822,5.71391536,EUR
TC96B9E9894E7,2025-01-18,828.57,97.424125,8.5048064,EUR
TAD7C00A474FE,2025-03-25,401.4,98.350493,4.08136374,EUR
TE6ED52E39FEF,2025-05-01,204.56,87.521046,2.33721486,EUR
T70278CDB81E8,2025-07-19,1365.11,82.914098,16.46412456,EUR
T61410F8CF30D,2025-08-30,1946.33,77.988153,24.9567162,EUR
TCC6AEDDDCA11,2025-10-19,214.57,77.354619,2.77390065,EUR
T39979C04CBE1,2025-10-29,1208.98,112.594979,10.73746007,EUR
TE688E002922A,2023-05-24,155.7,96.783491,1.60871211,EUR
TEBFAA79027E3,2023-08-24,158.27,92.8968,1.70368939,EUR
TA01919E0F54E,2023-09-29,424.33,97.440667,4.35471217,EUR
TD9EF458FAA6D,2024-01-12,170.31,92.359288,1.84401283,EUR
TCF587B6C915E,2024-01-27,277.53,95.860842,2.89518461,EUR
TF4518E16137D,2024-05-25,1353.62,108.893548,12.43063971,EUR
T88C2B96A314A,2024-06-24,246.64,105.387882,2.3402765,EUR
TA751178D951A,2024-07-29,282.42,100.985592,2.79666379,EUR
TA9CEA1E059C9,2024-08-29,172.61,97.216229,1.77552924,EUR
T5C8161FB118A,2024-09-13,826.81,97.37187,8.49126366,EUR
TE2C2E168F2C6,2024-10-30,30.28,100.000196,0.30279811,EUR
T7BD523FDF2CD,2024-12-06,251.1,98.035669,2.56127142,EUR
TD0945E155F6C,2024-12-27,338.16,102.869316,3.28727574,EUR
TD9E700A683C1,2024-12-29,213.18,101.761593,2.0948719,EUR
T605F2D2B11B2,2025-01-01,668.87,143.735921,4.65347638,EUR
T2D0B51A28921,2025-01-02,862.17,102.111504,8.44342664,EUR
TF196AC26FF06,2025-02-05,121.38,97.891139,1.23992077,EUR
T4814C8CE4AD9,2025-02-21,1682.52,98.462536,17.0879239,EUR
T1F4314D681A4,2025-03-26,120.36,95.041684,1.26639396,EUR
T43E768944EE7,2025-05-07,920.03,58.177685,15.81413715,EUR
TEC7A2BEAC962,2025-08-02,391.62,84.049445,4.65945586,EUR
T802E7A4BD352,2025-11-24,239.88,80.858595,2.96671547,EUR
T75C550AD2A59,2023-01-25,302.2,106.638694,2.83390627,EUR
TF317A9492F24,2023-04-01,186.07,90.01308,2.06714802,EUR
TEEBC8B8AE738,2023-04-22,484.16,90.972027,5.3221279,EUR
T5288D7275828,2023-10-02,275.87,99.393302,2.77554074,EUR
TFEF988DE886C,2023-12-23,800.86,120.262021,6.6592638,EUR
T4AFB7008CD16,2024-01-28,305.72,131.419175,2.32626027,EUR
TD2BA85BE3605,2024-02-03,169.77,120.12484,1.41328397,EUR
T6A0F297AFAAF,2024-08-25,98.71,121.914146,0.80963898,EUR
TED54FAF697CD,2024-11-30,307.62,113.14221,2.71884064,EUR
T78CE3AB6AA56,2024-12-03,135.1,136.915079,0.98675732,EUR
T2E8D65EE1C6B,2025-01-02,127.16,105.820259,1.20167904,EUR
T398D7F140570,2025-02-28,519.84,131.89162,3.94143791,EUR
T733CF36979DF,2025-03-31,92.27,132.369616,0.69703649,EUR
T2E76EEC05F7C,2025-04-04,1009.37,110.626291,9.12411053,EUR
TB8322B7C66B4,2025-11-26,394.54,117.397479,3.36071925,EUR
TC2E5C21639C7,2025-12-02,338.68,117.053709,2.89335955,EUR
TD0BCCE7EEB74,2025-12-30,161.07,110.123303,1.46266194,EUR
TBA8216F33D20,2023-04-05,231.83,105.096839,2.2058983,EUR
T92E7CA091268,2023-09-22,189.7,118.105574,1.60616963,EUR
T6865E321B77C,2023-10-29,393.09,117.995024,3.33140126,EUR
T767BEC4CE156,2024-01-26,245.82,95.860842,2.56434497,EUR
T9EA9CFEC4333,2024-04-29,671.76,99.80922,6.73048528,EUR
TD5BC0F5D091F,2024-06-26,81.94,106.583,0.768775,EUR
T55AA82145C2A,2024-07-28,370.25,73.587847,5.03146818,EUR
T42900C4C8FA8,2024-10-22,181.02,99.779603,1.81420337,EUR
TFA410E69890C,2025-02-20,257.42,115.938309,2.22031273,EUR
T2079EDE85644,2025-07-29,439.84,85.151556,5.16533667,EUR
T08F1DBC39614,2025-10-01,151.4,118.236581,1.28051804,EUR
T7C914BC5A54C,2025-11-15,395.88,77.484516,5.10912998,EUR
T40A3591F907D,2025-11-24,298.47,102.122848,2.92268589,EUR
TEDDD914732D4,2025-12-21,213.26,88.516649,2.40921832,EUR
T21281D96099B,2023-01-16,4572.47,100.490675,45.50143461,EUR
T5985580AE0BD,2023-01-27,3703.54,110.732883,33.44575134,EUR
TC20749208DD6,2023-02-27,1238.02,98.74638,12.53732742,EUR
T754B1C3E16E1,2023-03-24,1895.23,91.397142,20.73615233,EUR
TBC550C711A12,2023-07-02,2061.44,94.493783,21.81565643,EUR
T59C1608ACA7D,2023-07-23,4725.18,103.880795,45.48658921,EUR
TB7866DCEE98A,2023-07-24,926.09,103.880795,8.91493837,EUR
T5ACF6C9EC7F3,2023-08-02,13897.16,92.369089,150.45252604,EUR
T57EC053CB9C7,2023-09-02,1311.26,100.85105,13.00189939,EUR
T33E026E0FA0B,2023-09-16,2481.48,123.49889,20.09310777,EUR
TE2301B28E836,2023-09-20,932.67,103.255495,9.0326748,EUR
TF83CA9154D0D,2023-12-23,829.32,93.938109,8.82840792,EUR
T0534DCB3C175,2024-01-20,1188.9,117.654913,10.10495592,EUR
T03D0E34C0DD4,2024-01-31,1095.65,129.23612,8.47787778,EUR
TF0DD597B7CA8,2024-02-04,1757.99,126.984779,13.84411605,EUR
TE6C0315605C4,2024-03-03,1087.81,123.383756,8.8165115,EUR
T478146C635F7,2024-04-26,4515.47,115.263431,39.17525728,EUR
TA74997EF7643,2024-06-20,1284.99,110.362122,11.64343756,EUR
TB4C7C58565B0,2024-07-06,1169.47,114.507284,10.21303049,EUR
TF27CCD8BE23F,2024-08-01,1790.09,112.167172,15.95914646,EUR
TB48B961F96F6,2024-08-02,5813.62,109.893532,52.90231259,EUR
TD3DB3182065E,2024-08-21,3000.97,111.449711,26.92667136,EUR
T63A96A0EE134,2024-10-20,2296.89,119.54964,19.21282886,EUR
TC4F6935463A5,2024-11-26,739.49,128.646086,5.74823493,EUR
TD3C464A1FD70,2024-12-04,946.47,133.299459,7.10036115,EUR
TE190E4BA27FD,2024-12-27,843.36,95.455059,8.83518475,EUR
TC24E8B0B6DD9,2025-01-27,7592.15,136.365932,55.67479876,EUR
T5C2870BD7CB5,2025-01-31,3924.62,88.437765,44.37718929,EUR
T97F4B4DC0529,2025-02-04,1201.91,96.04135,12.51452223,EUR
TF90E101DE0DB,2025-03-03,1547.4,55.197715,28.03373357,EUR
T064339A3596A,2025-03-05,1239.61,99.233727,12.49178727,EUR
T199585BBA698,2025-03-19,1177.4,130.620662,9.01388857,EUR
T0958FD29CBBC,2025-03-27,3697.09,95.43709,38.73852572,EUR
T5C0C3FEF5C41,2025-05-08,1957.92,91.835685,21.31986522,EUR
TFBD63172FD81,2025-05-20,14662.35,90.860649,161.37189132,EUR
T33EF01B59A1C,2025-10-30,7236.2,149.138381,48.52005692,EUR
T8517D885273F,2025-10-31,7609.13,148.043674,51.39788261,EUR
TB63A913FDFFC,2025-11-04,4423.56,129.297414,34.21226332,EUR
TF298C8C70E96,2025-11-28,1745.48,156.55974,11.14898139,EUR
TC75B75E5984A,2025-12-15,4155.42,92.167048,45.0857211,EUR
T4E9A77621181,2023-01-25,2501.4,103.112887,24.25884061,EUR
TA7DCF95C465E,2023-01-28,1459.85,99.601585,14.6568453,EUR
T340CDC91273E,2023-02-13,1555.69,111.954641,13.8956836,EUR
TA43922AD5663,2023-03-27,5776.26,101.247826,57.05071467,EUR
T35A24D71ADE6,2023-05-28,5980.62,109.282774,54.72606334,EUR
T2CFDB3D1FC3A,2023-07-19,616.58,94.589039,6.51850984,EUR
TFCA0691F9888,2023-07-22,1247.13,102.961495,12.11260727,EUR
T7BBEF927A310,2023-09-27,1685.2,118.295932,14.24566849,EUR
TB3E08CDDB1CE,2023-11-22,4160.01,95.965992,43.34874433,EUR
TA1F12DD0BB47,2023-12-23,6605.52,122.213307,54.04906949,EUR
TF1E4C3D7D091,2024-02-27,24852.63,94.540981,262.87676726,EUR
TDCCCE2805CDC,2024-04-27,1682.82,102.154021,16.47331879,EUR
TA5085CB4D7FC,2024-05-12,1755.79,103.036561,17.04049744,EUR
T788ED70D2D32,2024-07-19,4122.98,111.530191,36.96735401,EUR
TA414801A8C63,2024-07-29,1399.91,100.985592,13.86245277,EUR
T85EB68348F93,2024-07-31,2217.71,74.781837,29.65567175,EUR
T431A05768A1A,2024-09-25,1756.83,100.796119,17.42949294,EUR
T42DA04EF5520,2024-10-05,269.25,104.226695,2.58331094,EUR
TD03D108503CB,2024-10-26,2776.08,100.422166,27.64407154,EUR
T0176310CC13C,2024-11-18,2141.02,115.634127,18.51549717,EUR
TA2FAFE306BEC,2024-12-03,7365.72,71.0086,103.73000441,EUR
TA604AF5B5469,2024-12-26,2511.69,141.817679,17.71072832,EUR
TA8704280B5D7,2024-12-29,860.5,70.729545,12.16602555,EUR
T31E3A8685E1B,2025-03-23,2007.53,129.401019,15.51404448,EUR
T6F2A8C105DF9,2025-04-01,422.68,118.06109,3.58021693,EUR
T8AD30BFD1D73,2025-05-23,893.16,91.403399,9.77162903,EUR
TED33ECD84A4D,2025-05-30,4290.79,88.387345,48.5452948,EUR
TC4063056DEB2,2025-07-04,2025.98,91.244348,22.20384761,EUR
TD7847EFB0A15,2025-08-26,5476.26,138.674267,39.49010888,EUR
T4EF966A17794,2025-09-02,469.74,118.706948,3.95717254,EUR
TF21393BAEE3A,2025-09-04,2034.4,140.051938,14.52600487,EUR
TC02467E50C10,2025-11-20,1668.8,127.223256,13.11710265,EUR
T971686850C4C,2025-12-26,5633.68,86.652215,65.01478629,EUR
T926A32B0E174,2023-02-07,397.28,106.082577,3.74498397,EUR
TAE7878F6FEDC,2023-04-21,350.75,94.770079,3.70108623,EUR
T121BCDCE377A,2023-04-28,520.61,100.488378,5.18076542,EUR
T4F515DF01361,2023-06-26,349.16,94.416989,3.69808981,EUR
T1D33814F426B,2023-07-25,194.64,126.162004,1.54279888,EUR
T3167289F16DB,2023-08-23,237.82,95.314689,2.49507561,EUR
T4F970CA4448B,2023-08-24,151.99,94.855408,1.60233952,EUR
TBADF6593429C,2023-10-04,520.2,114.971628,4.52460642,EUR
T02EE57357216,2024-01-31,353.0,129.23612,2.73145899,EUR
TFB00ED799162,2024-02-23,267.13,125.874982,2.12214921,EUR
T0C158A9B3056,2024-03-02,228.82,75.716564,3.02201369,EUR
T20F5871106BC,2024-08-29,511.18,104.172249,4.90708288,EUR
TEF7BF0A0965E,2024-11-01,628.46,93.071161,6.7524467,EUR
T53F3C7A45B1C,2024-12-01,149.91,97.24262,1.54162732,EUR
TB1E582CE0B6D,2024-12-25,133.24,68.517155,1.94465679,EUR
TC7D2FFD01F0B,2025-02-02,716.1,95.102005,7.52977807,EUR
T04B1D8D328E4,2025-07-02,124.78,84.563958,1.47561533,EUR
T9D6FF2AAA079,2023-02-04,335.04,101.240409,3.30939571,EUR
TD3CE27110AB1,2023-02-20,756.18,89.409928,8.45743041,EUR
TE8E274598130,2023-03-26,1511.46,88.63366,17.05287994,EUR
T5189EAF4BB31,2023-04-21,1761.48,103.729993,16.98143753,EUR
TB2663779D3C9,2023-04-29,217.6,109.104559,1.99444643,EUR
TBAD239515F6D,2023-08-19,836.24,117.956026,7.08942621,EUR
TE76A1EFD900A,2023-09-03,1300.09,91.455022,14.21564659,EUR
T2699D23F22D9,2023-10-03,938.24,90.309794,10.3891473,EUR
TA70EF69136E7,2023-10-28,2637.68,96.116704,27.4424643,EUR
TB9FBC5C4AA23,2023-11-06,466.36,97.162611,4.79974727,EUR
T9C9C6243484A,2023-11-21,174.72,96.447693,1.81151053,EUR
T9B49A39680A1,2023-12-01,1720.99,99.06518,17.37231001,EUR
T753302983248,2023-12-21,585.65,98.487401,5.94646684,EUR
TB583A41F2B47,2023-12-26,220.43,100.522652,2.19279982,EUR
T4FC03BF52C18,2024-03-29,792.81,111.674004,7.09933347,EUR
T0A6E7942F29F,2024-07-01,2408.7,127.179492,18.93934927,EUR
TCC9F5652F4A9,2024-07-02,327.6,128.883157,2.54183544,EUR
T2C2B9FAD6AF1,2024-07-13,5832.44,137.115776,42.53664242,EUR
T196A607F979E,2024-08-05,460.4,152.315771,3.02264925,EUR
T03E3ED7235E7,2024-08-25,964.88,164.370747,5.87014256,EUR
TC955F701B740,2024-09-08,339.37,168.135764,2.0184241,EUR
T2F50C7E46E62,2024-10-19,930.46,113.971447,8.16400689,EUR
T5015DFDEB1F6,2024-10-23,808.67,154.217892,5.24371398,EUR
T59548A4541E9,2024-11-27,273.36,158.639577,1.72316863,EUR
TEBC2B9616B6C,2024-12-29,8630.49,146.422311,58.94243849,EUR
TCC6A5291CC09,2025-01-21,605.54,118.70792,5.10111432,EUR
T1522989AC20B,2025-02-18,605.97,144.009984,4.207809,EUR
T9FB5B36371E4,2025-02-21,1953.98,144.548933,13.51777356,EUR
T5F9624A7ACFD,2025-02-23,3842.19,145.942146,26.32682516,EUR
T11C7FF1B7E82,2025-04-24,2216.19,135.969438,16.2991689,EUR
T6DA089A5AA6D,2025-05-11,344.28,112.832744,3.05122784,EUR
TCF85504234F6,2025-05-19,1067.98,145.724901,7.3287236,EUR
TE9E6DEE5B410,2025-05-24,199.8,89.435863,2.23395827,EUR
TEFCB1402E7D1,2025-07-30,1851.51,118.802807,15.58476442,EUR
TB10D7813BAAC,2025-08-24,243.29,145.592525,1.67101706,EUR
TDC19F081D784,2025-09-01,473.35,78.166583,6.05564852,EUR
TA655B5DC2401,2025-09-02,897.7,143.261133,6.26616479,EUR
TA11B3CF1B9FB,2025-09-22,1284.85,142.836041,8.99530348,EUR
T1A635E8E0EBC,2025-11-30,730.44,157.582321,4.63529141,EUR
TAF5CFEE2A491,2023-01-01,374.14,100.030363,3.74025777,EUR
TC2C5F4543836,2023-01-22,320.4,99.263678,3.22779378,EUR
T0E5E721AC938,2023-01-27,3485.89,97.853242,35.62367195,EUR
TA705A78D25B0,2023-07-07,127.56,108.164519,1.17931418,EUR
TACDB26D578DA,2023-12-31,318.66,90.705891,3.51305773,EUR
TE88AFEA30541,2024-03-28,120.32,104.283114,1.1537582,EUR
TC8018EDCE4FC,2024-04-20,261.67,106.671062,2.45307867,EUR
TA5A32AA41D69,2024-05-31,269.78,104.535244,2.58077306,EUR
TF03FF051E11C,2024-07-01,659.57,124.399449,5.30206,EUR
T9B4825C0BF76,2024-08-09,249.81,102.705969,2.4322409,EUR
T485AD08141F6,2024-11-20,303.22,100.953692,3.00350979,EUR
TA480341A363B,2024-11-28,253.46,137.18232,1.84759324,EUR
T566A7A417D2D,2024-12-25,122.38,93.953017,1.30258338,EUR
T5CE2B1180BCA,2025-01-27,214.62,136.365932,1.57383359,EUR
T0B5DF4C9D326,2025-02-16,262.82,93.595909,2.80806026,EUR
TAF1529D4F35A,2025-07-06,369.93,92.670999,3.9918189,EUR
T3B9BD527C681,2025-11-24,532.27,73.47004,7.24466922,EUR
T108F1C91B1CC,2023-01-17,199.57,102.814893,1.94106009,EUR
TAC4EE6566445,2023-03-25,353.48,101.591808,3.47941958,EUR
T3FA467A3C8B6,2023-06-02,432.81,102.358501,4.22833579,EUR
T2F0FFD0F55B4,2023-08-31,219.02,96.175743,2.27732828,EUR
T886A1F1CE1AA,2023-09-18,370.8,80.602216,4.60034037,EUR
T4CDA7051314F,2023-11-06,552.19,77.864856,7.09161498,EUR
T51E5A949AEAE,2023-11-25,1523.89,83.044493,18.35029223,EUR
T82056081DE71,2023-12-06,318.38,104.253217,3.05392347,EUR
T425F31ECB488,2023-12-26,339.33,100.78886,3.36669765,EUR
T588CB263C85F,2024-01-30,1100.5,98.298795,11.19548578,EUR
T889526C40C1B,2024-02-19,231.84,107.264642,2.16140764,EUR
T344AB9B75EA1,2024-04-25,129.63,67.648318,1.91620351,EUR
TD0A6B6285F1F,2024-05-06,422.26,69.268147,6.09601166,EUR
T987B599FD9FE,2024-08-22,784.51,121.431096,6.46056923,EUR
T0EE64D0875D7,2024-12-20,458.85,68.831824,6.66621553,EUR
T118741744C20,2025-04-26,325.44,110.912504,2.93418513,EUR
TA6F5A73D1C7C,2025-06-02,118.11,92.030644,1.28340477,EUR
T0B56F12E48CD,2025-08-01,335.01,119.471591,2.80408591,EUR
TE644D8E2C801,2025-10-25,882.54,101.12709,8.72699687,EUR
T2F81BCEBAE22,2025-10-30,138.7,111.824348,1.24037781,EUR
TC3D6F7469CFE,2025-11-02,291.31,102.369137,2.8456386,EUR
TF29DC22AE533,2025-12-02,261.73,100.738886,2.598119,EUR
T242F1B0E7D38,2023-02-23,93.26,102.12566,0.91314663,EUR
TABE4C9AE797E,2023-02-26,351.9,102.818633,3.42253125,EUR
